ja,zh_Hans
ボコスカブースト,猛攻支援
りせの主人公復活,理世的主角复活术
元気の歌HP,活力之歌HP
元気の歌SP,活力之歌SP
サルクスドロップ,肉类药水
傷薬,伤药
メディカルパウダー,医疗药粉
霊水,灵水
魔石,魔石
宝玉,宝玉
お徳用傷薬セット,超值伤药组合
メディカルキット,医疗包
ウムギウォーター,蛤贝水
宝玉輪,宝玉环
プネウマドロップ,圣灵药水
スナフソウル,灵魂鼻烟壶
チューインソウル,灵魂口香糖
御卵,御卵
ジュネス・ボンバー,朱尼斯·轰炸机
赤い女将と緑の成龍,红色女老板与绿色成龙
美女と野獣の狂演,美女与野兽的狂想曲
忘却の風,忘却之风
底知れぬ妬み,无尽之嫉妒
焼き払い,燃烧殆尽
戦慄のロンド,战栗回旋曲
禁断の呟き,禁忌低语
憤怒の囁き,愤怒耳语
狂信の雷,狂信之雷
マハアナライズ,玛哈分析
魔手ニヒル,虚无魔手
ウルトラチャージ,超级充能
虚無への導き,虚无引导
ささやき,细语
えいしょう,咏唱
いのり,祈祷
キャラメイク,角色创造
コマンド,指令
エレメンツ・ゼロ,零之元素
魔封光線,魔封光线
クアドコンバージ,四象聚合
あやつる,操纵
揺ぎ無き正義,坚定之正义
ネブラオクルス,星云之眼
クエイク,地震
混迷の霧,混乱之雾
幾千の呪言,数千咒语
世界の終焉,世界末日
テラーボイス,恐惧之声
八十神の猛り,八十神猛攻
黄泉への誘い,黄泉邀约
黒雷,黑雷
大雷,大雷
雪花の蜜,雪花之蜜
黄泉返りの綱,复活绳索
仙桃の種,仙桃种子
仙桃の花びら,仙桃花瓣
仙桃の果実,仙桃果实
火寄せの鈴,聚火铃
氷寄せの鈴,聚冰铃
風寄せの鈴,聚风铃
雷寄せの鈴,聚雷铃
火炎の銅鐸,火焰铜钟
氷結の銅鐸,冰冻铜钟
疾風の銅鐸,疾风铜钟
電撃の銅鐸,电击铜钟
物理耐性,物理耐性
物理無効,物理无效
物理反射,物理反弹
物理吸収,物理吸收
火炎耐性,火焰耐性
火炎無効,火焰无效
火炎反射,火焰反弹
火炎吸収,火焰吸收
氷結耐性,冰冻耐性
氷結無効,冰冻无效
氷結反射,冰冻反弹
氷結吸収,冰冻吸收
電撃耐性,电击耐性
電撃無効,电击无效
電撃反射,电击反弹
電撃吸収,电击吸收
疾風耐性,疾风耐性
疾風無効,疾风无效
疾風反射,疾风反弹
疾風吸収,疾风吸收
光耐性,光耐性
光無効,光无效
光反射,光反弹
闇耐性,暗耐性
闇無効,暗无效
闇反射,暗反弹
混乱防御,混乱防御
衰弱防御,衰弱防御
魔封防御,魔封防御
恐怖防御,恐惧防御
激昂防御,激昂防御
毒防御,毒防御
気絶防御,昏厥防御
老化防御,老化防御
不動心,不动心
マサカドゥス,将门之力
物理見切り,物理识破
真・物理見切り,真·物理识破
火炎見切り,火焰识破
真・火炎見切り,真·火焰识破
氷結見切り,冰冻识破
真・氷結見切り,真·冰冻识破
疾風見切り,疾风识破
真・疾風見切り,真·疾风识破
電撃見切り,电击识破
真・電撃見切り,真·电击识破
大天使の加護,大天使的庇佑
火炎ブースタ,火焰强化
火炎ハイブースタ,高级火焰强化
氷結ブースタ,冰冻强化
氷結ハイブースタ,高级冰冻强化
電撃ブースタ,电击强化
電撃ハイブースタ,高级电击强化
疾風ブースタ,疾风强化
疾風ハイブースタ,高级疾风强化
HP小増加,HP小增加
HP中増加,HP中增加
HP大増加,HP大增加
SP小増加,SP小增加
SP中増加,SP中增加
SP大増加,SP大增加
カウンタ,反击
ヘビーカウンタ,重反击
ハイパーカウンタ,超反击
小治癒促進,小治愈促进
中治癒促進,中治愈促进
大治癒促進,大治愈促进
小気功,小气功
中気功,中气功
大気功,大气功
ローグロウ,初级成长
ミドルグロウ,中级成长
ハイグロウ,高级成长
攻撃の心得,攻击诀窍
防御の心得,防御诀窍
素早さの心得,敏捷诀窍
警戒,警戒
コーチング,指导
アドバイス,建言
アリ・ダンス,蚁之舞
仁王立ち,不动如山
魔術の素養,魔术的资质
武道の心得,武道诀窍
HPドーピング,HP强化剂
SPドーピング,SP强化剂
神々の加護,诸神庇佑
食いしばり,坚忍
不屈の闘志,不屈斗志
光からの生還,光明生还
闇からの生還,黑暗生还
マハラクカオート,自动玛哈拉库卡
マハタルカオート,自动玛哈塔尔卡
マハスクカオート,自动玛哈斯库卡
混乱成功率UP,混乱成功率UP
毒成功率UP,毒成功率UP
衰弱成功率UP,衰弱成功率UP
魔封成功率UP,魔封成功率UP
恐怖成功率UP,恐惧成功率UP
激昂成功率UP,激昂成功率UP
気絶成功率UP,昏厥成功率UP
老化成功率UP,老化成功率UP
バステ成功率UP,异常状态成功率UP
ハマ成功率UP,哈玛成功率UP
ムド成功率UP,姆多成功率UP
光からの大生還,光明大生还
闇からの大生還,黑暗大生还
勝利の息吹,胜利气息
勝利の雄たけび,胜利咆哮
毒耐性,毒耐性
混乱耐性,混乱耐性
恐怖耐性,恐惧耐性
衰弱耐性,衰弱耐性
老化耐性,老化耐性
激昂耐性,激昂耐性
気絶耐性,昏厥耐性
魔封耐性,魔封耐性
HP超増加,HP超增加
SP超増加,SP超增加
急速回復,急速恢复
瞬間回復,瞬间恢复
無限食いしばり,无限坚忍
イザナミ食いしばり,伊邪那美坚忍
断絶の壁,断壁
臆病のマーヤ,懦弱之魔影
我欲のバザルト,私欲之玄武岩
霧雨姉妹の四女,雾雨姐妹四妹
マジックハンド,魔术之手
ダンシングハンド,舞动之手
キリングハンド,杀戮之手
笑うテーブル,嬉笑之桌
泣くテーブル,哭泣之桌
怒るテーブル,愤怒之桌
眠るテーブル,沉眠之桌
マジカルマグス,神奇术士
ワンダーマグス,惊奇术士
インテリマグス,知识术士
グランドマグス,伟大术士
虚言のアブルリー,谎言夸口者
妄言のアブルリー,妄言夸口者
甘言のアブルリー,甜言夸口者
翻弄のアブルリー,挑拨夸口者
残酷のマーヤ,残酷之魔影
自律のバザルト,自律之玄武岩
霧雨兄弟の四男,雾雨兄弟四弟
雨女の壷,雨女之壶
雨見の壷,观雨之壶
慕い女の壷,慕女之壶
囲ひ女の壷,情妇之壶
偽りの聖典,虚伪圣典
狂気の聖典,疯狂圣典
沈黙の聖典,沉默圣典
怒りの聖典,愤怒圣典
静寂のマリア,寂静之圣母
解放のマリア,解放之圣母
導きのマリア,指引之圣母
狂乱のマリア,狂乱之圣母
原初のマリア,原初之圣母
冷静のペーシェ,冷静之鱼
探求のペーシェ,探求之鱼
真理のペーシェ,真理之鱼
天啓のペーシェ,天启之鱼
虚栄のマーヤ,虚荣之魔影
無為のバザルト,无为之玄武岩
霧雨姉妹の三女,雾雨姐妹三姐
ヴィーナスイーグル,维纳斯之鹰
ダークイーグル,黑暗之鹰
ジュピターイーグル,朱庇特之鹰
エターナルイーグル,永恒之鹰
生成の彫像,创造之雕像
維持の彫像,维持之雕像
育成の彫像,培育之雕像
変容の彫像,变化之雕像
イデアマザー,理念之母
スカルプマザー,掠夺之母
ピスティルマザー,雌蕊之母
ディバインマザー,神圣之母
秘密のバンビーノ,秘密之子
狂い咲きバンビーノ,盛开之子
貪欲のバンビーノ,贪婪之子
自由のバンビーノ,自由之子
傲慢のマーヤ,傲慢之魔影
肥大のバザルト,硕大之玄武岩
霧雨兄弟の三男,雾雨兄弟三哥
死甲蟲,死甲虫
金剛蟲,金刚虫
剛毅蟲,刚毅虫
帝王蟲,帝王虫
熱甲蟲,热甲虫
征服の騎士,征服之骑士
凱旋の騎士,凯旋之骑士
地獄の騎士,地狱之骑士
不屈の騎士,不屈之骑士
雨見の城,观雨之城
パワーキャッスル,威力城堡
雨つぶての城,雨润之城
キングキャッスル,帝王城堡
ぽじてぶキング,积极之王
えごいすとキング,自我中心之王
ぐれぇとキング,伟大之王
ぶりりあんとキング,灿烂之王
怠惰のマーヤ,怠惰之魔影
依存のバザルト,依存之玄武岩
霧雨姉妹の次女,雾雨姐妹二姐
トランスツインズ,恍惚之双子
キラーツインズ,杀手之双子
雨明かりの双子,雨后之双子
クレイジーツインズ,疯狂之双子
堕落の塔,堕落之塔
教条の塔,教条之塔
破戒の塔,破戒之塔
狂信の塔,狂信之塔
怨恨の塔,怨恨之塔
青のシジル,青之法印
赤のシジル,赤之法印
緑のシジル,绿之法印
紫のシジル,紫之法印
収賄のファズ,收贿之警察
固執のファズ,固执之警察
偏執のファズ,偏执之警察
無秩序のファズ,脱序之警察
裏切りのマーヤ,背叛之魔影
苦悩のバザルト,苦恼之玄武岩
霧雨兄弟の次男,雾雨兄弟二哥
独占のクビド,独占之丘比特
盲愛のクビド,盲爱之丘比特
偏愛のクビド,偏爱之丘比特
博愛のクビド,博爱之丘比特
ソウルダンサー,灵魂舞者
ライフダンサー,生命舞者
ロイヤルダンサー,皇家舞者
クラリスダンサー,绚烂舞者
ハレムダンサー,后宫舞者
情欲の蛇,情欲之蛇
愛欲の蛇,爱欲之蛇
肉欲の蛇,肉欲之蛇
淫欲の蛇,淫欲之蛇
禁欲の蛇,禁欲之蛇
浮気のパピヨン,外遇之蝶
目移りのパピヨン,花心之蝶
移り気のパピヨン,移情之蝶
純情のパピヨン,纯情之蝶
挫折のマーヤ,挫折之魔影
不遜のバザルト,不逊之玄武岩
霧雨姉妹の長女,雾雨姐妹大姐
雨脚の滑車,雨势滑轮
マッハフォート,急速之轮
ブレイブフォート,勇气之轮
バトルフォート,战斗之轮
ワイルドドライブ,狂野装置
キラードライブ,杀手装置
スロータードライブ,屠杀装置
バスタードライブ,爆裂装置
魔弾の砲座,魔弹炮台
真紅の砲座,深红炮台
邪悪の砲座,邪恶炮台
洗礼の砲座,洗礼炮台
爆轟の砲座,爆轰炮台
暴走の砲座,失控炮台
狼狽のパンツァー,狼狈战车
無謀のパンツァー,无谋战车
慢心のパンツァー,傲慢战车
雷鳥のパンツァー,雷鸟战车
本性のマーヤ,本性之魔影
源泉のバザルト,源泉之玄武岩
霧雨兄弟の長男,雾雨兄弟大哥
雨脚の武者,雨势之武者
雨明かりの武者,雨后之武者
雨つぶての武者,雨润之武者
雨東風の武者,雨东风之武者
闘魂のギガス,斗魂之巨灵
獣神のギガス,兽神之巨灵
激震のギガス,激震之巨灵
神話のギガス,神话之巨灵
不滅のギガス,不灭之巨灵
ニザームアニマル,尼札姆之兽
スレイヴアニマル,奴役之兽
フォースアニマル,强迫之兽
ネメアンアニマル,尼米亚之兽
エルドラアニマル,黄金国之兽
招きの女御,招唤之女官
徒花の女御,徒花之女官
惜愛の女御,怜爱之女官
寂滅の女御,寂灭之女官
貪欲のマーヤ,贪婪之魔影
帰順のバザルト,归顺之玄武岩
ブラックレイヴン,漆黑之渡鸦
スマッシュレイヴン,粉碎之渡鸦
ソニックレイヴン,音波之渡鸦
アメンティレイヴン,冥界之渡鸦
ファントムメイジ,魅影法师
ファントムマスター,魅影大师
ファントムロード,魅影领主
ファントムキング,魅影之王
ファントムナイト,魅影骑士
デスサーチャー,死亡搜寻者
フェイトサーチャー,命运搜寻者
ノーブルサーチャー,高贵搜寻者
アケロンサーチャー,黄泉搜寻者
浅薄の翁,肤浅之翁
軽挙の翁,轻率之翁
世直しの翁,济世之翁
月形の翁,半月之翁
誤算のマーヤ,失算之魔影
偶発のバザルト,偶发之玄武岩
ブロンズダイス,青铜之骰
アイアンダイス,钢铁之骰
シルバーダイス,白银之骰
プラチナダイス,白金之骰
精神のダイス,精神之骰
呪いのダイス,诅咒之骰
死のダイス,死亡之骰
天罰のダイス,天罚之骰
時の砂時計,时间沙漏
逆行の砂時計,倒流沙漏
無限の砂時計,无限沙漏
永遠の砂時計,永恒沙漏
ミス・ジェーン,失误基因
フェイルジェーン,失败基因
ハッピージェーン,快乐基因
ネクスト・ジェーン,进化基因
偏見のマーヤ,偏见之魔影
断罪のバザルト,断罪之玄武岩
正義の剣,正义之剑
審判の剣,审判之剑
判決の剣,判决之剑
断罪の剣,断罪之剑
炎と氷のバランサー,炎冰天秤
雷と風のバランサー,风雷天秤
全能のバランサー,全能天秤
光と闇のバランサー,光影天秤
均衡の巨人,均衡之巨人
平衡の巨人,平衡之巨人
調和の巨人,调和之巨人
無の巨人,空无之巨人
鋼鉄の巨兵,钢铁之巨兵
圧倒の巨兵,压倒之巨兵
厳粛の巨兵,严肃之巨兵
無慈悲の巨兵,冷酷之巨兵
犠牲のマーヤ,牺牲之魔影
抑圧のバザルト,压抑之玄武岩
ミノタウロス四号,牛头人四号
ミノタウロス参号,牛头人三号
ミノタウロス弐号,牛头人二号
ミノタウロス壱号,牛头人一号
ネオミノタウロス,新型牛头人
力のヘカトンケイル,力之百臂巨人
血のヘカトンケイル,血之百臂巨人
魔のヘカトンケイル,魔之百臂巨人
哀のヘカトンケイル,哀之百臂巨人
豪腕のキュクロプス,豪腕独眼巨人
狂気のキュクロプス,疯狂独眼巨人
憤怒のキュクロプス,愤怒独眼巨人
混沌のキュクロプス,混沌独眼巨人
光輝のキュクロプス,光辉独眼巨人
反逆のキュクロプス,叛逆独眼巨人
お守りレキシー,守护辗毙者
ドライデキシー,干燥溺毙者
真面目カロシー,认真过劳死者
出世ジュンシー,入仕殉死者
テストレア,测试
陽介の影,阳介之影
千枝の影,千枝之影
雪子の影,雪子之影
完二の影,完二之影
りせの影,理世之影
クマの影,小熊之影
美津雄の影,美津雄之影
直斗の影,直斗之影
クニノサギリ,国之狭雾
足立透,足立透
アメノサギリ,天之狭雾
イザナミ,伊邪那美
失言のアブルリー,失言夸口者
白馬の王子,白马王子
伊邪那美大神,伊邪那美大神
導かれし勇者ミツオ,被引导的勇者美津雄
ナイスガイ,好汉
タフガイ,硬汉
マーガレット,玛格丽特
クスミノオオカミ,久须美大神
マリー,玛丽
刈り取るもの,猎杀者
宝物の手,宝物之手
財宝の手,财宝之手
至高の手,至高之手
全盛の手,全盛之手
栄華の手,荣华之手
栄光の手,荣光之手
矛盾の王,矛盾之王
狭量の官,斗筲之官
刹那の児,刹那之儿
逃避の兵,逃避之兵
極論の器,极论之器
迷いの翁,迷惘之翁
羨望の巨人,羡慕之巨人
幸福の手,幸福之手
孤高の手,孤高之手
ガントレットハンド,甲胄之手
祀るテーブル,供奉之桌
空言のアブルリー,空言夸口者
大輪のバンビーノ,大朵之子
祈願のパピヨン,祈愿之蝶
がりがりガーシー,脆脆贾西
執行の剣,执行之剑
呪い女の壷,咒女之壶
回天の彫像,回天之雕像
ごーじゃすキング,豪华之王
スペクトルレイヴン,光谱之渡鸦
祈祷の女御,祈祷之女官
俗信の翁,俗信之翁
無法のファズ,枉法之警察
石楼のパンツァー,石楼战车
融和の巨人,融合之巨人
新雪の武者,新雪之武者
沈静の巨兵,沉静之巨兵
雪晴れの武者,雪晴之武者
憤激の巨兵,激愤之巨兵
天空の巨人,天空之巨人
イザナギ,伊邪那岐
ツィツィミトル,兹兹米特尔
フラロウス,佛劳洛斯
ロキ,洛基
イシュタル,伊丝塔
ジャックランタン,杰克灯笼
ジャックフロスト,杰克霜精
スカアハ,斯卡哈
ランダ,兰达
ハチマン,八幡神
クー・フーリン,库夫林
オセ,欧赛
クシミタマ,奇魂
アプサラス,飞天
アルダー,阿尔达
パールヴァティ,帕尔瓦蒂
キクリヒメ,菊理媛
ザオウゴンゲン,藏王权现
サラスヴァティ,妙音天女
ヤツフサ,八房
キュベレ,库柏勒
スラオシャ,斯拉欧加
ネコショウグン,猫将军
カーリー,迦梨
オバリヨン,背背鬼
ウコバク,乌科巴克
ラミア,拉弥亚
オーディン,奥丁
キングフロスト,霜精之王
オオクニヌシ,大国主
ウンディーネ,温蒂妮
シルフ,希尔芙
フォルネウス,佛钮司
アルラウネ,爱娜温
ミトラ,密特拉
だいそうじょう,大僧正
アナンタ,阿难陀
フツヌシ,经津主
トリグラフ,特里格拉夫
ラファエル,拉斐尔
ティターニア,缇坦妮雅
オベロン,奥伯隆
ザントマン,睡魔
リャナンシー,莲南希
ピクシー,皮克希
ウリエル,乌列尔
スルト,斯尔特
ソロネ,座天使
アレス,阿瑞斯
ティターン,泰坦
アラミタマ,荒魂
ヴァルキリー,女武神
メルキセデク,麦基洗德
ドミニオン,主天使
ジークフリード,齐格飞
ヴァーチャー,力天使
パワー,能天使
アークエンジェル,大天使
エンジェル,天使
ヒトコトヌシ,一言主
イッポンダタラ,一本踏鞴
ネビロス,奈比洛斯
デカラビア,单卡拉比
ベルフェゴール,贝尔芬格
ヨモツシコメ,黄泉丑女
ヴェータラ,毘陀罗
ノルン,诺伦
アトロポス,阿特罗波斯
パズス,帕祖祖
ラケシス,拉刻西斯
サキミタマ,幸魂
エリゴール,埃力格
クロト,克洛托
フォルトゥナ,福尔图娜
トール,托尔
モコイ,莫克伊
アバドン,亚巴顿
ベリアル,彼列
ハヌマーン,哈奴曼
ヨシツネ,义经
マハカーラ,大黑天
アティス,阿提斯
ヴァスキ,婆苏吉
オルトロス,欧特鲁斯
タムリン,塔姆林
ジン,灵怪
マダ,摩陀
ホワイトライダー,白骑士
アリス,爱丽丝
セト,赛特
モト,莫特
サマエル,萨麦尔
ドゥン,达温
ゴルゴン,蛇发女妖
ディース,狄丝
ミカエル,米迦勒
ビャッコ,白虎
スザク,朱雀
セイリュウ,青龙
ニギミタマ,和魂
ゲンブ,玄武
ベルゼブブ,别西卜
マザーハーロット,巴比伦大淫妇
シキオウジ,式王子
リリス,莉莉丝
インキュバス,男梦魔
サキュバス,女梦魔
リリム,莉莉姆
ホウオウ,凤凰
シヴァ,湿婆
マサカド,将门
ヨモツイクサ,黄泉军
ヤマタノオロチ,八岐大蛇
アンズー,安祖
ルシフェル,路西菲尔
サンダルフォン,圣德芬
ジャアクフロスト,邪恶霜精
ガルーダ,迦楼罗
スイキ,水鬼
ガネーシャ,葛内舍
イシス,伊西斯
ケルベロス,克鲁贝洛斯
フウキ,风鬼
セタンタ,瑟坦特
ギリメカラ,基力梅卡拉
ノズチ,野槌
レギオン,恶灵军团
ベリス,比利士
サトゥルヌス,萨图尔努斯
ヴィシュヌ,毗湿奴
バロン,巴隆
アンドラス,安德拉斯
ホルス,荷鲁斯
ナラシンハ,那罗辛哈
センリ,仙狸
キンキ,金鬼
アスラおう,阿修罗王
メタトロン,梅塔特隆
サタン,撒旦
ガブリエル,加百列
ホクトセイクン,北斗星君
トランペッター,吹号者
アヌビス,阿努比斯
ナタタイシ,哪吒太子
オンギョウキ,隐形鬼
ハイピクシー,高等皮克希
ヤクシニー,母夜叉
カイチ,獬豸
トート,托特
カーシー,狗妖精
モスマン,天蛾人
オニ,鬼
マカミ,真神
ラクシャーサ,罗刹
マタドール,斗牛士
ヘルズエンジェル,地狱天使
トウコツ,梼杌
トウテツ,饕餮
パピルサグ,人面蝎
マーラ,魔罗
カルティケーヤ,韦驮天
バアル・ゼブル,巴力西卜
スパルナ,金翅鸟
ルシファー,路西法
オロバス,欧若博司
アタバク,大元帅明王
ハリティー,诃梨帝母
スカディ,丝卡蒂
ユニコーン,独角兽
オモイカネ,思兼神
シーサー,狮爷
プリンシパリティ,权天使
クラマテング,鞍马天狗
ユルング,虹蛇
キウン,迦温
ジャターユ,佳塔由
スライム,软泥怪
アラハバキ,荒霸吐
カハク,花魄
アリラト,艾里拉特
コウリュウ,黄龙
グール,食尸鬼
クイーンメイブ,妖精女王
ガンガー,甘伽
伊邪那岐大神,伊邪那岐大神
ニーズホッグ,尼德霍格
ヤタガラス,八咫乌
ジライヤ,自来也
スサノオ,须佐之男
トモエ,巴御前
スズカゴンゲン,铃鹿权现
コノハナサクヤ,木花开耶
アマテラス,天照
タケミカヅチ,建御雷
ロクテンマオウ,第六天魔王
ヒミコ,卑弥呼
カンゼオン,观世音
キントキドウジ,金时童子
カムイ,神威
スクナヒコナ,少彦名
ヤマトタケル,日本武尊
マガツイザナギ,祸津伊邪那岐
タケハヤスサノオ,建速须佐之男
ハラエドノオオカミ,祓户大神
スメオオミカミ,皇大御神
タケジザイテン,他化自在天
コウゼオン,光世音
カムイモシリ,神威之国
ヤマトスメラミコト,日本天尊
黒イザナミ,黑伊邪那美
大神,大神
DBG35,DBG35
DBG45,DBG45
DBG55,DBG55
DBG65,DBG65
DBG75,DBG75
DBG85,DBG85
カグヤ,辉夜
ペイルライダー,苍白骑士
タケミナカタ,建御名方
ナルキッソス,那耳喀索斯
クヴァンダ,鸠盘荼
グルル,格鲁鲁
バフォメット,巴风特
ロア,罗瓦
チェルノボグ,切尔诺伯格
