ja,zh_Hans
ランダマイザ,女巫诅咒
魔界のしらべ,魔界的探查
ソルニゲル,漆黑之阳
パララアイ,麻痹之眼
子守り歌,摇篮曲
バインドボイス,束缚之声
永眠の誘い,永眠的诱惑
怪音波,怪音波
セクシーアイ,魅惑之眼
肉体の解放,肉体解放
パニックボイス,慌乱之声
大いなる酩酊,酩酊大醉
常世の祈り,永世的祈祷
獣の眼光,野兽的视线
龍の眼光,龙的视线
無尽無辺光,无边无尽光
召し寄せ,传唤
気合い,全神贯注
逃亡,逃亡
群れ集い,聚众
闇の遠吠え,黑暗的嚎叫
高笑い,大笑
魔王の号令,魔王的号令
邪霊烏合,邪灵聚合
分身,分身
夜のオーロラ,暗夜极光
シナイの神火,西奈神火
霊魂流出,灵魂溢流
神の悪意,神的恶意
地獄への導き,通往地狱的指引
死門の流氷,死门的流冰
蜃気楼,海市蜃楼
マッカをまいた！,挥洒魔货！
原色の舞踏,本色之舞
ウソブキ,咆哮
末世破,末日波
天の鼓動,上天的悸动
（召喚）,（召唤）
死蝿の葬列,死蝇的送葬
ソウルバランス,灵魂平衡
Ｅ＆Ｉ,E&I
リベリオン,Rebellion
トゥーサムタイム,TwoSome Time
スティンガー,Stinger
ラウンドトリップ,Round Trip
ワールウインド,Wild Wind
ショウタイム,Show Time
悪しき輝き,妖媚光辉
初めに闇ありき,原初之暗
王の中の王,王中之王
ホーリースター,Holy Star
血のアンダルシア,染血的安达卢西亚
赤のカポーテ,血色斗牛士
喝破,大叱
煩悩即菩提,烦恼即菩提
瞑想,冥想
テラーソード,恐惧之剑
ヘルスピン,地狱回旋
ヘルエギゾースト,地狱汲尽
ヘルバーナー,地狱燃火
ヘルスロットル,地狱风门
女帝のリビドー,女帝狂欲
邪神の蛮声,邪神的蛮声
ゴッドアロー,神箭
一分の活泉,一分活泉
二分の活泉,二分活泉
三分の活泉,三分活泉
一分の魔脈,一分魔脉
二分の魔脈,二分魔脉
三分の魔脈,三分魔脉
逃走加速,加速逃离
心眼,心眼
会心,会心
煌天の会心,煌天会心
静天の会心,静天会心
吸収攻撃,吸收攻击
全体攻撃,全体攻击
火炎高揚,火焰激昂
氷結高揚,冰冻激昂
電撃高揚,电击激昂
衝撃高揚,冲击激昂
耐物理,耐物理
耐火炎,耐火焰
耐氷結,耐冰冻
耐電撃,耐电击
耐衝撃,耐冲击
耐破魔,耐破魔
耐呪殺,耐咒杀
耐魔力,耐魔力
耐神経,耐神经
耐精神,耐精神
物理無効,物理无效
火炎無効,火焰无效
氷結無効,冰冻无效
電撃無効,电击无效
衝撃無効,冲击无效
呪殺無効,咒杀无效
物理吸収,物理吸收
氷結吸収,冰冻吸收
電撃吸収,电击吸收
衝撃吸収,冲击吸收
物理反射,物理反弹
火炎反射,火焰反弹
氷結反射,冰冻反弹
電撃反射,电击反弹
衝撃反射,冲击反弹
食いしばり,强忍
勝利の息吹,胜利气息
勝利のチャクラ,胜利脉轮
勝利の雄叫び,胜利咆哮
息吹の具足,气息甲胄
チャクラの具足,脉轮甲胄
盗人の知恵,贼人的智能
宝探し,寻宝
見覚えの成長,旁观成长
カリスマ,超凡入圣
貫通,贯穿
ネバーギブアップ,Never Give Up
父の名に誓って,以父之名
スカウト,挖角
誘拐,诱拐
誘惑,诱惑
洗脳,洗脑
静天の契り,静天之誓
口説き落とし,说服
ヘッドハント,猎头
英雄狩り,猎杀英雄
悪戯,恶作剧
死の契約,死亡契约
おねだり,撒娇
物乞い,乞讨
恐喝,恐吓
ストーンハント,猎石
物々交換,以物易物
借金,借钱
値切り,砍价
執り成し,协调
引き止め,挽留
同族のよしみ,同族之情
説得,劝说
脅し,恫吓
わがまま,任性
乙女の仲裁,少女的仲裁
酒の宴,酒宴
ゴマすり,拍马屁
ジャイヴトーク,花言巧语
死天召喚,死天召唤
死兵召喚,死兵召唤
死霊召喚,死灵召唤
死魔召喚,死魔召唤
ブギウギ,布基乌基
ヨシツネ見参,义经参上
モコイブーメラン,恶灵回力镖
的殺,狙杀
ミシャグジ雷電,御社宫司雷电
ヒトコト大風,一言大风
ジライヤ乱舞,自来也乱舞
凶鳥ガーヂアン,凶鸟守护者
永世ライドウ,永世雷道
