ja,zh_Hans
ヒュドラ,海德拉
ファフニール,法夫纳
チョトンダ,猪豚蛇
サマエル,萨麦尔
バロン,巴隆
アヌビス,阿努比斯
マカミ,真神
カイチ,獬豸
ビャッコ,白虎
キマイラ,奇美拉
チロンヌプ,奇隆努普
シーサー,狮爷
センリ,仙狸
ユニコーン,独角兽
ケルベロス,刻耳柏洛斯
オルトロス,欧特鲁斯
ルー・ガルー,狼人
ネコマタ,猫又
イヌガミ,犬神
オロバス,欧若博司
ケットシー,猫妖精
ドアマース,德亚玛斯
グラシャラボラス,格剌希亚拉波斯
バグス,巴古斯
ヌエ,奴延
バイコーン,双角兽
モスマン,天蛾人
フェンリル,芬里尔
ピアレイ,皮亚雷
ハヤタロウ,早太郎
フレイミーズ,火精灵
アクアンズ,水精灵
エアロス,风精灵
アーシーズ,磐石精灵
サキミタマ,幸魂
クシミタマ,奇魂
ニギミタマ,和魂
アラミタマ,荒魂
ブラックウーズ,黑软泥怪
レギオン,恶灵军团
スライム,软泥怪
マッドガッサー,疯狂瓦斯怪人
ターボばあちゃん,高速婆婆
シヴァ,湿婆
モト,莫特
ザオウゴンゲン,藏王权现
アスラおう,阿修罗王
チェルノボグ,切尔诺伯格
ディオニュソス,狄俄尼索斯
ダヌー,达奴
イナンナ,伊南娜
カーリー,迦梨
キュベレ,库柏勒
スカディ,斯卡蒂
イシス,伊西斯
キクリヒメ,菊理媛
ハリティー,诃梨帝母
アリラト,阿利拉特
トール,托尔
フツヌシ,经津主
アティス,阿提斯
ビシャモンテン,毘沙门天
ジコクテン,持国天王
コウモクテン,广目天王
ゾウチョウテン,增长天王
アラハバキ,荒霸吐
オオヤマツミ,大山津见
クシナダヒメ,奇稻田姬
スクナヒコナ,少彦名
オオクニヌシ,大国主
タケミナカタ,建御名方
ガネーシャ,葛内舍
ジークフリート,齐格飞
ヴァルキリー,女武神
ヨシツネ,义经
ネコショウグン,猫将军
ナタタイシ,哪吒太子
マサカド,将门
マダ,摩陀
ギリメカラ,基力梅卡拉
パズス,帕祖祖
ミシャグジさま,御社宫司神
バフォメット,巴风特
ラフム,拉赫穆
サトゥルヌス,萨图尔努斯
ツィツィミトル,兹兹米特尔
アブディエル,亚必迭
メタトロン,梅塔特隆
ミカエル,米迦勒
ガブリエル,加百列
スラオシャ,斯拉欧加
ラファエル,拉斐尔
サンダルフォン,圣德芬
ウリエル,乌列尔
カマエル,卡麦尔
メルキセデク,麦基洗德
マンセマット,曼塞马特
アールマティ,阿尔迈蒂
ソロネ,座天使
ドミニオン,主天使
パワー,能天使
プリンシパリティ,权天使
アークエンジェル,大天使
エンジェル,天使
ケルプ,智天使
アドラメレク,亚得米勒
フラロウス,佛劳洛斯
ネビロス,奈比洛斯
ベリス,比利士
オセ,欧赛
エリゴール,埃力格
フォルネウス,佛钮司
アンドラス,安德拉斯
デカラビア,单卡拉比
ハルパス,哈帕斯
アザゼル,阿撒兹勒
ガルーダ,迦楼罗
スザク,朱雀
ヤタガラス,八咫乌
ジャターユ,佳塔由
ホウオウ,凤凰
サンダーバード,雷鸟
アンズー,安祖
チン,鸩
モー・ショボー,莫索保
オンモラキ,阴摩罗鬼
グルル,格鲁鲁
クレオパトラ,克利奥帕特拉
ランダ,兰达
ダーキニー,荼吉尼
アトロポス,阿特洛波斯
ヤクシニー,母夜叉
ラケシス,拉刻西斯
クロト,克洛托
マナナンガル,马纳南加尔
ラミア,拉弥亚
マーメイド,美人鱼
リャナンシー,拉南希
オンギョウキ,隐形鬼
シキオウジ,式王子
スイキ,水鬼
フウキ,风鬼
キンキ,金鬼
アズミ,安昙神
イッポンダタラ,一本踏鞴
ダイモーン,戴蒙
オニ,鬼
カラステング,鸦天狗
ヘカトンケイル,百臂巨人
ロア,洛阿
ラクシャーサ,罗刹
トゥルダク,吐鲁达克
マカーブル,马卡布
グレムリン,葛雷姆林
カヤノヒメ,鹿屋野比卖
ツチグモ,土蜘蛛
ナルキッソス,那耳喀索斯
カハク,花魄
コロポックル,克鲁波克鲁
スダマ,山灵
コダマ,木灵
ゴグマゴグ,歌革玛各
ピシャーチャ,毕舍遮
クバンダ,鸠盘荼
ポルターガイスト,骚灵
オバリヨン,背背鬼
ガキ,饿鬼
クドラク,库德拉克
トランペッター,吹号者
マザーハーロット,巴比伦大淫妇
ブラックライダー,黑骑士
レッドライダー,红骑士
ホワイトライダー,白骑士
アリス,爱丽丝
ヘルズエンジェル,地狱天使
だいそうじょう,大僧正
ペイルライダー,苍白骑士
マタドール,斗牛士
タオ,多绪
ヨーコ,洋子
イナバシロウサギ,因幡白兔
キンマモン,君真物
オニャンコポン,奥尼扬科蓬
アマビエ,阿玛比埃
アグラト,阿格拉特
ナアマ,拿玛
エイシェト,伊谢丝
火炎落星,火焰新星
氷結落星,冰冻新星
明けの明星,拂晓明星
ラフムの触手,拉赫穆的触手
テホム,提霍姆
龍頭,龙头
山羊頭,山羊头
駱駝頭,骆驼头
八雲ショウヘイ,八云翔平
敦田ユヅル,敦田结弦
太宰イチロウ,太宰一郎
リリスの影,莉莉丝之影
アグラトの影,阿格拉特之影
エイシェトの影,伊谢丝之影
ナアマの影,拿玛之影
破戒の翼,破戒之翼
破戒の腕,破戒之臂
雷公従器,雷公从器
ツクヨミ,月读
人修羅,人修罗
ティアマト,提亚马特
アオガミ,青神
ユヅル,结弦
イチロウ,一郎
ミヤズ,宫津
サホリ,沙保里
越水,越水
八雲,八云
悟劫,悟劫
ソピアー,索菲亚
フィン,芬恩
ギュスターヴ,古斯塔夫
ミマン,未满
魔石,魔石
チャクラドロップ,脉轮露
チャクラポット,脉轮壶
宝玉,宝玉
宝玉輪,宝玉环
ソーマ,苏摩
道返玉,道返玉
反魂香,返魂香
アムリタソーダ,甘露汽水
アムリタシャワー,甘露之雨
傷薬,伤药
牛黄丹,牛黄丹
アンブロシア,仙馔密酒
マッスルドリンコ,肌肉饮料
魔石輪,魔石环
ソーマの雫,苏摩滴露
火炎の小秘石,火焰小秘石
氷結の小秘石,冰冻小秘石
電撃の小秘石,电击小秘石
衝撃の小秘石,冲击小秘石
破魔の小秘石,破魔小秘石
呪殺の小秘石,咒杀小秘石
火炎の秘石,火焰秘石
氷結の秘石,冰冻秘石
電撃の秘石,电击秘石
衝撃の秘石,冲击秘石
破魔の秘石,破魔秘石
呪殺の秘石,咒杀秘石
毒の秘石,中毒秘石
睡眠の秘石,睡眠秘石
混乱の秘石,混乱秘石
幻惑の秘石,幻惑秘石
封技の秘石,封技秘石
魅了の秘石,魅惑秘石
剛力の秘石,强力秘石
魔力の秘石,魔力秘石
会心の秘石,会心秘石
吸魔の秘石,吸魔秘石
吸力の秘石,吸力秘石
滅却の札,灭却符咒
除霊の札,除灵符咒
物反鏡,物反镜
魔反鏡,魔反镜
万里の眼鏡,万里眼镜
黄金の切り札,黄金的王牌
木彫りの山羊,山羊木雕
くらましの玉,匿踪玉
物障石,物障石
火障石,火障石
氷障石,冰障石
雷障石,雷障石
風障石,风障石
光障石,光障石
闇障石,暗障石
回帰のピラー,返回之柱
集魔の笛,聚魔之笛
ひんやり神霊氷,沁爽神灵冰
チャクラ金剛丹,脉轮金刚丹
薬祖神の穂綿,药祖神的蒲穗
反魂神珠,返魂神珠
破魔の霊扇,破魔灵扇
バロールの眼,巴罗尔之眼
万里の遠眼鏡,万里望远镜
祓戸の霊玉,祓户之灵玉
崩潰珠,崩溃珠
福音書,福音书
魔導書,魔导书
生命の霊香,生命之灵香
気力の霊香,气力之灵香
力の霊香,力之灵香
魔力の霊香,魔力之灵香
体力の霊香,体力之灵香
速さの霊香,速之灵香
運の霊香,运之灵香
生命の香,生命之香
気力の香,气力之香
力の香,力之香
魔力の香,魔力之香
体力の香,体力之香
速さの香,速之香
運の香,运之香
戦いの経典,战斗经书
炎の経典,火之经书
氷の経典,冰之经书
雷の経典,雷之经书
風の経典,风之经书
光の経典,光之经书
闇の経典,暗之经书
破壊の経典,破坏经书
癒しの経典,治愈经书
支援の経典,支援经书
災いの経典,灾厄经书
御厳結晶・小,御严结晶·小
御厳結晶・大,御严结晶·大
悪魔の小箱,恶魔的小盒子
悪魔の豪華箱,恶魔的豪华盒子
新約の石板,新约石板
コンスの写せ身,孔苏的灵体
ゼウスの写せ身,宙斯的灵体
オーディンの写せ身,奥丁的灵体
ミトラの写せ身,密特拉的灵体
アタバクの写せ身,大元帅明王的灵体
ホルスの写せ身,荷鲁斯的灵体
トートの写せ身,托特的灵体
コンス・ラーの写せ身,孔苏·拉的灵体
ヴィシュヌの写せ身,毗湿奴的灵体
バアルの写せ身,巴力的灵体
デメテルの写せ身,德墨忒尔的灵体
アナーヒターの写せ身,阿娜希塔的灵体
ラクシュミの写せ身,吉祥天女的灵体
ノルンの写せ身,诺伦的灵体
イズンの写せ身,伊登的灵体
サラスの写せ身,妙音天女的灵体
イシュタルの写せ身,伊什塔尔的灵体
スカアハの写せ身,斯卡哈的灵体
パールの写せ身,帕尔瓦蒂的灵体
アメノウズメの写せ身,天钿女命的灵体
フォルトゥナの写せ身,福尔图娜的灵体
マリアの写せ身,玛利亚的灵体
アルテミスの写せ身,阿提密斯的灵体
ハヌマーンの写せ身,哈奴曼的灵体
フィンの写せ身,芬恩的灵体
クーフーリンの写せ身,库夫林的灵体
クラマテングの写せ身,鞍马天狗的灵体
アマノザコの写せ身,天逆每的灵体
コッパテングの写せ身,木叶天狗的灵体
アプサラスの写せ身,飞天的灵体
アガシオンの写せ身,阿珈席翁的灵体
マンドレイクの写せ身,曼陀罗的灵体
ティターニアの写せ身,缇坦妮雅的灵体
オベロンの写せ身,奥伯隆的灵体
シルキーの写せ身,希路奇的灵体
セタンタの写せ身,瑟坦特的灵体
ケルピーの写せ身,凯尔派的灵体
ハイピクシーの写せ身,高等皮克希的灵体
ランタンの写せ身,杰克灯笼的灵体
フロストの写せ身,杰克霜精的灵体
ピクシーの写せ身,皮克希的灵体
メイブの写せ身,妖精女王的灵体
サキュバスの写せ身,女梦魔的灵体
キウンの写せ身,迦温的灵体
リリムの写せ身,莉莉姆的灵体
インキュバスの写せ身,男梦魔的灵体
モコイの写せ身,莫考伊的灵体
ザントマンの写せ身,睡魔的灵体
リリスの写せ身,莉莉丝的灵体
ジャアクの写せ身,邪恶霜精的灵体
ジョカの写せ身,女娲的灵体
アモンの写せ身,亚蒙的灵体
マーラの写せ身,魔罗的灵体
メフィストの写せ身,墨菲斯托的灵体
シュウの写せ身,蚩尤的灵体
スルトの写せ身,苏尔特尔的灵体
ベルゼブブの写せ身,别西卜的灵体
アリオクの写せ身,亚略的灵体
ベリアルの写せ身,彼列的灵体
アバドンの写せ身,亚巴顿的灵体
モロクの写せ身,摩洛的灵体
ベルフェの写せ身,贝尔芬格的灵体
Ｋフロストの写せ身,霜精之王的灵体
ミトラスの写せ身,米特拉斯的灵体
ロキの写せ身,洛基的灵体
コウリュウの写せ身,黄龙的灵体
ケツアルの写せ身,羽蛇神的灵体
セイリュウの写せ身,青龙的灵体
ゲンブの写せ身,玄武的灵体
アナンタの写せ身,阿难陀的灵体
ヤマタの写せ身,八岐大蛇的灵体
ナーガラジャの写せ身,那伽之王的灵体
ユルングの写せ身,虹蛇的灵体
ナーガの写せ身,那伽的灵体
ヴァスキの写せ身,婆苏吉的灵体
セトの写せ身,赛特的灵体
バジリスクの写せ身,巴西利斯克的灵体
アイトワラスの写せ身,鸡龙的灵体
ヒュドラの写せ身,海德拉的灵体
ファフニールの写せ身,法夫纳的灵体
バロンの写せ身,巴隆的灵体
アヌビスの写せ身,阿努比斯的灵体
マカミの写せ身,真神的灵体
ビャッコの写せ身,白虎的灵体
キマイラの写せ身,奇美拉的灵体
チロンヌプの写せ身,奇隆努普的灵体
シーサーの写せ身,狮爷的灵体
ケルベロスの写せ身,刻耳柏洛斯的灵体
オルトロスの写せ身,欧特鲁斯的灵体
ルー・ガルーの写せ身,狼人的灵体
ネコマタの写せ身,猫又的灵体
イヌガミの写せ身,犬神的灵体
オロバスの写せ身,欧若博司的灵体
ケットシーの写せ身,猫妖精的灵体
バグスの写せ身,巴古斯的灵体
ヌエの写せ身,奴延的灵体
バイコーンの写せ身,双角兽的灵体
モスマンの写せ身,天蛾人的灵体
ハヤタロウの写せ身,早太郎的灵体
フレイミーズの写せ身,火精灵的灵体
アクアンズの写せ身,水精灵的灵体
エアロスの写せ身,风精灵的灵体
アーシーズの写せ身,磐石精灵的灵体
Ｂウーズの写せ身,黑软泥怪的灵体
レギオンの写せ身,恶灵军团的灵体
スライムの写せ身,软泥怪的灵体
シヴァの写せ身,湿婆的灵体
モトの写せ身,莫特的灵体
ザオウの写せ身,藏王权现的灵体
アスラおうの写せ身,阿修罗王的灵体
チェルノボグの写せ身,切尔诺伯格的灵体
ディオニスの写せ身,狄俄尼索斯的灵体
ダヌーの写せ身,达奴的灵体
イナンナの写せ身,伊南娜的灵体
カーリーの写せ身,迦梨的灵体
キュベレの写せ身,库柏勒的灵体
スカディの写せ身,斯卡蒂的灵体
イシスの写せ身,伊西斯的灵体
キクリヒメの写せ身,菊理媛的灵体
ハリティーの写せ身,诃梨帝母的灵体
アリラトの写せ身,阿利拉特的灵体
トールの写せ身,托尔的灵体
フツヌシの写せ身,经津主的灵体
アティスの写せ身,阿提斯的灵体
ビシャモンの写せ身,毘沙门天的灵体
ジコクの写せ身,持国天王的灵体
コウモクの写せ身,广目天王的灵体
ゾウチョウの写せ身,增长天王的灵体
アラハバキの写せ身,荒霸吐的灵体
オオヤマツミの写せ身,大山津见的灵体
クシナダヒメの写せ身,奇稻田姬的灵体
スクナヒコナの写せ身,少彦名的灵体
オオクニヌシの写せ身,大国主的灵体
タケミナカタの写せ身,建御名方的灵体
ガネーシャの写せ身,葛内舍的灵体
ジークの写せ身,齐格飞的灵体
ヴァルキリーの写せ身,女武神的灵体
ヨシツネの写せ身,义经的灵体
ネコショウの写せ身,猫将军的灵体
マダの写せ身,摩陀的灵体
ギリメカラの写せ身,基力梅卡拉的灵体
パズスの写せ身,帕祖祖的灵体
ミシャグジの写せ身,御社宫司神的灵体
バフォメットの写せ身,巴风特的灵体
ラフムの写せ身,拉赫穆的灵体
アブディエルの写せ身,亚必迭的灵体
メタトロンの写せ身,梅塔特隆的灵体
ミカエルの写せ身,米迦勒的灵体
ガブリエルの写せ身,加百列的灵体
スラオシャの写せ身,斯拉欧加的灵体
ラファエルの写せ身,拉斐尔的灵体
サンダルの写せ身,圣德芬的灵体
ウリエルの写せ身,乌列尔的灵体
カマエルの写せ身,卡麦尔的灵体
メルキセデクの写せ身,麦基洗德的灵体
ソロネの写せ身,座天使的灵体
ドミニオンの写せ身,主天使的灵体
パワーの写せ身,能天使的灵体
プリンスの写せ身,权天使的灵体
アークの写せ身,大天使的灵体
エンジェルの写せ身,天使的灵体
アドラメレクの写せ身,亚得米勒的灵体
フラロウスの写せ身,佛劳洛斯的灵体
ネビロスの写せ身,奈比洛斯的灵体
ベリスの写せ身,比利士的灵体
オセの写せ身,欧赛的灵体
エリゴールの写せ身,埃力格的灵体
フォルネウスの写せ身,佛钮司的灵体
アンドラスの写せ身,安德拉斯的灵体
デカラビアの写せ身,单卡拉比的灵体
ガルーダの写せ身,迦楼罗的灵体
スザクの写せ身,朱雀的灵体
ヤタガラスの写せ身,八咫乌的灵体
ジャターユの写せ身,佳塔由的灵体
ホウオウの写せ身,凤凰的灵体
サンダーBの写せ身,雷鸟的灵体
アンズーの写せ身,安祖的灵体
チンの写せ身,鸩的灵体
モーショボーの写せ身,莫索保的灵体
オンモラキの写せ身,阴摩罗鬼的灵体
クレオパトラの写せ身,克利奥帕特拉的灵体
ランダの写せ身,兰达的灵体
ダーキニーの写せ身,荼吉尼的灵体
アトロポスの写せ身,阿特洛波斯的灵体
ヤクシニーの写せ身,母夜叉的灵体
ラケシスの写せ身,拉刻西斯的灵体
クロトの写せ身,克洛托的灵体
マナナンガルの写せ身,马纳南加尔的灵体
ラミアの写せ身,拉弥亚的灵体
マーメイドの写せ身,美人鱼的灵体
リャナンシーの写せ身,拉南希的灵体
オンギョウキの写せ身,隐形鬼的灵体
シキオウジの写せ身,式王子的灵体
スイキの写せ身,水鬼的灵体
フウキの写せ身,风鬼的灵体
キンキの写せ身,金鬼的灵体
アズミの写せ身,安昙神的灵体
ダタラの写せ身,一本踏鞴的灵体
ダイモーンの写せ身,戴蒙的灵体
オニの写せ身,鬼的灵体
ヘカトンの写せ身,百臂巨人的灵体
ロアの写せ身,洛阿的灵体
ラクシャーサの写せ身,罗刹的灵体
トゥルダクの写せ身,吐鲁达克的灵体
マカーブルの写せ身,马卡布的灵体
カヤノヒメの写せ身,鹿屋野比卖的灵体
ツチグモの写せ身,土蜘蛛的灵体
ナルキッソスの写せ身,那耳喀索斯的灵体
カハクの写せ身,花魄的灵体
コロポックルの写せ身,克鲁波克鲁的灵体
スダマの写せ身,山灵的灵体
コダマの写せ身,木灵的灵体
ピシャーチャの写せ身,毕舍遮的灵体
クバンダの写せ身,鸠盘荼的灵体
ガイストの写せ身,骚灵的灵体
オバリヨンの写せ身,背背鬼的灵体
ガキの写せ身,饿鬼的灵体
トランペッタの写せ身,吹号者的灵体
ハーロットの写せ身,巴比伦大淫妇的灵体
ブラックRの写せ身,黑骑士的灵体
レッドＲの写せ身,红骑士的灵体
ホワイトＲの写せ身,白骑士的灵体
アリスの写せ身,爱丽丝的灵体
ヘルズの写せ身,地狱天使的灵体
そうじょうの写せ身,大僧正的灵体
ペイルＲの写せ身,苍白骑士的灵体
マタドールの写せ身,斗牛士的灵体
アオガミ壱式の写せ身,青神壹式的灵体
アオガミ弐式の写せ身,青神贰式的灵体
アオガミ参式の写せ身,青神参式的灵体
アオガミ肆式の写せ身,青神肆式的灵体
アオガミ伍式の写せ身,青神伍式的灵体
アオガミ陸式の写せ身,青神陆式的灵体
アオガミ漆式の写せ身,青神柒式的灵体
アオガミ捌式の写せ身,青神捌式的灵体
アオガミ玖式の写せ身,青神玖式的灵体
アオガミ拾式の写せ身,青神拾式的灵体
アオガミ零式の写せ身,青神零式的灵体
人修羅の写せ身,人修罗的灵体
アオガミ甲型の写せ身,青神甲型的灵体
アオガミ乙型の写せ身,青神乙型的灵体
アオガミ丙型の写せ身,青神丙型的灵体
アオガミ丁型の写せ身,青神丁型的灵体
サタンの写せ身,撒旦的灵体
ルシファーの写せ身,路西法的灵体
ダグザの写せ身,达格达的灵体
クルースニクの写せ身,克雷斯尼克的灵体
アナンシの写せ身,安纳西的灵体
ディースの写せ身,狄丝的灵体
イフリートの写せ身,伊弗利特的灵体
ナホビホの写せ身,创吼的灵体
ヴリトラの写せ身,弗栗多的灵体
ニャミニャミの写せ身,涯米涯米的灵体
ノズチの写せ身,野槌的灵体
ヴィーヴルの写せ身,薇薇尔的灵体
チョトンダの写せ身,猪豚蛇的灵体
サマエルの写せ身,萨麦尔的灵体
カイチの写せ身,獬豸的灵体
センリの写せ身,仙狸的灵体
ユニコーンの写せ身,独角兽的灵体
ドアマースの写せ身,德亚玛斯的灵体
グラシャの写せ身,格剌希亚拉波斯的灵体
フェンリルの写せ身,芬里尔的灵体
ピアレイの写せ身,皮亚雷的灵体
マッドガッサの写せ身,疯狂瓦斯怪人的灵体
Ｔばあちゃんの写せ身,高速婆婆的灵体
ナタタイシの写せ身,哪吒太子的灵体
マサカドの写せ身,将门的灵体
サトゥルヌスの写せ身,萨图尔努斯的灵体
ツィツィの写せ身,兹兹米特尔的灵体
マンセマットの写せ身,曼塞马特的灵体
アールマティの写せ身,阿尔迈蒂的灵体
ケルプの写せ身,智天使的灵体
ハルパスの写せ身,哈帕斯的灵体
アザゼルの写せ身,阿撒兹勒的灵体
グルルの写せ身,格鲁鲁的灵体
カラステングの写せ身,鸦天狗的灵体
グレムリンの写せ身,葛雷姆林的灵体
ゴグマゴグの写せ身,歌革玛各的灵体
クドラクの写せ身,库德拉克的灵体
シロウサギの写せ身,因幡白兔的灵体
キンマモンの写せ身,君真物的灵体
オニャンコＰの写せ身,奥尼扬科蓬的灵体
アマビエの写せ身,阿玛比埃的灵体
アグラトの写せ身,阿格拉特的灵体
ナアマの写せ身,拿玛的灵体
エイシェトの写せ身,伊谢丝的灵体
コノハナの写せ身,木花朔耶的灵体
ツクヨミの写せ身・始,月读的灵体·始
ツクヨミの写せ身・衷,月读的灵体·衷
ツクヨミの写せ身・終,月读的灵体·末
タオの写せ身,多绪的灵体
ヨーコの写せ身,洋子的灵体
おみくじ,神签
缶ジュース,罐装果汁
溶けた人形,融化的玩偶
布マスク,布口罩
カセットゲーム機,卡带游戏机
ボロの建材,破烂建材
六芒星のトレカ,六芒星集换卡
ゼリー缶,果冻罐
キャラ文鎮,动漫角色镇纸
質素な肌着,朴素的内衣
瀬形三式ゲーム機,世土三式游戏机
ネズミの木乃伊,老鼠木乃伊
テレフォンカード,电话卡
おでん缶,罐装关东煮
電子オルゴール,电子八音盒
スクール水着,学校泳装
石碑型ゲーム機,石碑型游戏机
カラスの木乃伊,乌鸦木乃伊
ホロ加工トレカ,亮面加工集换卡
タイムカプセル,时光胶囊
お徳用ゴム風船,超值橡胶气球
年代もののシャツ,古董衬衫
取手付ゲーム機,带把手的游戏机
謎の木乃伊,神秘木乃伊
黒テープセット,盒装黑胶带
破れた漫画本,破烂的漫画书
大容量ボトル,大容量塑料瓶
ビニール傘,塑料伞
粉まみれの箱,沾满粉末的盒子
ボトルコンテナ,瓶罐收纳箱
ラヂヲ焼き,收音机烧
アヒルの浮人形,浮水鸭玩偶
古新聞,旧报纸
古雑誌,旧杂志
文庫本,口袋书
ビニール雑誌,上了封膜的杂志
紙蓋の瓶,纸瓶盖的瓶子
ビー玉蓋の瓶,弹珠瓶栓的瓶子
メイド服,女仆装
黄金の三角石,金黄色三角石
黄金の林檎,金苹果
秋葉権現の符,秋叶权现的符咒
峻厳のカギ,严峻之钥
慈悲のカギ,慈悲之钥
均衡のカギ,平衡之钥
天使の羽根,天使的羽毛
猫化生の霊符,猫化生的灵符
エキドナの子らの霊符,厄客德娜众子嗣的灵符
無邪気なる霜精の霊符,无邪霜精的灵符
アースの父子の霊符,阿萨父子的灵符
影の国の師弟の霊符,影之国师徒的灵符
四大天使の霊符,四大天使的灵符
少女と伯爵達の霊符,少女与伯爵们的灵符
オリンポス姉弟の霊符,奥林匹斯姐弟的灵符
四聖獣の霊符,四圣兽的灵符
四鬼の霊符,四鬼的灵符
四天王の霊符,四天王的灵符
小さき翅の霊符,小翅膀的灵符
不定形な塊の霊符,不定型块状物的灵符
天の御使いの霊符,天之使者的灵符
天に座す双子の霊符,天堂双子的灵符
ダーナの種子の霊符,达奴种子的灵符
善なる秩序の霊符,守序善良的灵符
悪逆たる秩序の霊符,守序邪恶的灵符
無記たる秩序の霊符,守序中立的灵符
善なる混沌の霊符,混乱善良的灵符
悪逆たる混沌の霊符,混乱邪恶的灵符
無記たる混沌の霊符,混乱中立的灵符
善なる中立の霊符,中立善良的灵符
悪逆たる中立の霊符,中立邪恶的灵符
無記たる中立の霊符,绝对中立的灵符
女魔の霊符,女魔的灵符
山神地祇の霊符,山神地祇的灵符
白いハイヒール,白色高跟鞋
インスタントカメラ,拍立得相机
アマビエのブロマイド,阿玛比埃的明星照
三学珠,三学珠
悪魔のタスキ,恶魔的披带
検体採取容器,样本采集容器
アティスの名刺,阿提斯的名片
天神の要石,天神之镇石
八塩折の徳利,八盐折之酒壶
鬼王の御剣,鬼王御剑
オークの杖,橡树之杖
ジャターユの卵,佳塔由的蛋
マンドレイクの根,曼陀罗的根
巨大鳥の羽根,巨鸟的羽毛
式神の呪符,式神的符咒
モスマン捕獲壺,天蛾人捕捉壶
厭魅鬼の大瓶,厌魅鬼的大瓶
夢魔の手紙,梦魔的信
冷凍キングサーモン,冷冻帝王鲑
地祇の要石,地祇之镇石
ギブボンのギター,吉普朋吉他
大型プラモキット,大型塑料拼装模型
ＴＶ一体型ゲーム,一体型游戏电视
豊穣の角,丰饶之角
ダイヤモンド,钻石
ガーネット,石榴石
アクアマリン,海蓝宝石
竜の鱗,龙鳞
ギリメカラの首,基力梅卡拉的头
公の御剣,君主御剑
有翼日輪の紋章,有翼太阳纹章
エンゼルリング,天使戒指
生命の種子,生命种子
イヌガミの首,犬神的头
バイコーンの角,双角兽的角
ホルスの首,荷鲁斯的头
黒い契約書,黑之契约书
孔雀石の粉末,孔雀石的粉末
知識のメノラー,知识烛台
基礎のメノラー,根基烛台
永遠のメノラー,永恒烛台
威厳のメノラー,威严烛台
慈悲のメノラー,慈悲烛台
理解のメノラー,理解烛台
知恵のメノラー,智慧烛台
王冠のメノラー,王冠烛台
美のメノラー,美艳烛台
神威のメノラー,神威烛台
王国のメノラー,王国烛台
生徒手帳,学生手册
徳利と団子,酒壶和团子
修羅の墨綬,修罗的墨绶
エメラルド,祖母绿
アメジスト,紫水晶
幼星,幼星
毒花の蕾,毒花的花苞
四つ葉のクローバー,四叶酢浆草
アタッシュケース,手提箱
幽鬼族の護符,幽鬼族的护符
凶鳥族の護符,凶鸟族的护符
大天使族の護符,大天使族的护符
女神族の護符,女神族的护符
霊鳥族の護符,灵鸟族的护符
天使族の護符,天使族的护符
妖魔族の護符,妖魔族的护符
邪神族の護符,邪神族的护符
魔神族の護符,魔神族的护符
軍神族の護符,军神族的护符
神獣族の護符,神兽族的护符
聖獣族の護符,圣兽族的护符
幻魔族の護符,幻魔族的护符
精霊族の護符,精灵族的护符
妖精族の護符,妖精族的护符
魔獣族の護符,魔兽族的护符
